GaiaDR3_ID,cluster,subgroup,data_catalog,Prot_source,Prot,mem_prob_hdbscan,mem_prob_source,dr3_parallax_zpt_corrected,dr3_ruwe,G_0,BPRP_0,e_BPRP_0,dustmap,fiducial_age_Myr,cmd_exclude,dered_exclude,phot_exclude
5290646440127895936,NGC2516,NGC2516,Fritzewski2020,Fritzewski2020,1.897,0.815,0.815,2.4871228523293247,1.0706174,18.559825013128506,2.6068166787352003,0.08407088697401789,Edenhofer,263,0,0,0
5290651323511794816,NGC2516,NGC2516,Fritzewski2020,Fritzewski2020,6.312,0.985,0.985,2.4712744622217295,0.995645,13.874331188201763,1.0427983860929382,0.015707651841007152,Edenhofer,263,0,0,0
5290652663541576832,NGC2516,NGC2516,Fritzewski2020,Fritzewski2020,3.979,0.714,0.714,2.389930606716362,1.0584376,14.529638681088104,1.213373969948525,0.015830877927388805,Edenhofer,263,0,0,0
5290653350736340736,NGC2516,NGC2516,Fritzewski2020,Fritzewski2020,8.524,1,1,2.4606647515885864,0.95249,13.608169650333103,1.1687538818600398,0.015413598372601579,Edenhofer,263,0,0,0
5290654205428930688,NGC2516,NGC2516,Fritzewski2020,Fritzewski2020,0.866,0.399,0.399,2.253174644398672,1.0527431,18.05676595427165,2.937004669472992,0.05819340422820315,Edenhofer,263,0,0,0
5290654858263942656,NGC2516,NGC2516,Fritzewski2020,Fritzewski2020,0.762,0.393,0.393,2.6705374364122947,1.0682627,18.01512852170116,2.5293262858841303,0.040390870468855485,Edenhofer,263,0,0,0
145203704587705088,Taurus,Taurus_C5,Long2023,Long2023,3.73,NULL,0.9,6.163721480605845,1.2948834,18.038413034964822,3.4497509261602923,0.6248318442984754,Edenhofer,2.01,0,0,0
145217379763796992,Taurus,Taurus_C5,Long2023,Long2023,0.966,NULL,0.9,5.58431202420541,1.0010191,17.2053198373375,4.153749013333825,0.24209905961824074,Edenhofer,2.01,0,0,0
146675954953119104,Taurus,Taurus_C6,Long2023,Long2023,6.398,NULL,0.9,7.951612129634357,0.95019937,12.939699021805875,1.9969305660403383,0.014985537628054551,Edenhofer,1.57,0,0,0
148599305732728320,Taurus,Taurus_D4,Long2023,Long2023,0.982,NULL,0.9,9.130876187748866,0.9684662,9.537888096250104,0.855383431940802,0.015125517181739143,Edenhofer,2.49,0,0,0
2075877373435348096,NGC6866,NGC6866,Long2023,Long2023,0.737,0.729,0.729,0.7145413164217886,0.95586795,13.671848097221135,0.4819225891030787,0.03243307969185685,Bayestar,735,0,0,0
2075877888831465600,NGC6866,NGC6866,Long2023,Long2023,0.452,1,1,0.7241325964719869,1.0020567,13.501337465773165,0.4731281930219483,0.04164042489868968,Bayestar,735,0,0,0
2076066145836177408,NGC6866,NGC6866,Long2023,Long2023,0.402,1,1,0.7115966030162187,0.9424052,13.341964525131703,0.4090799026861762,0.02046084197627558,Bayestar,735,0,0,0
2076066661232275456,NGC6866,NGC6866,Long2023,Long2023,0.84,0.869,0.869,0.7151912746915481,0.9669419,11.549662087011813,0.17901172669946663,0.16570936841504516,Bayestar,735,0,0,0
2076294603740304256,NGC6819,NGC6819,Long2023,Long2023,7.13,0.873,0.873,0.41275530947653644,0.9631666,14.335212719243884,0.7537671100731612,0.04322704712052844,Bayestar,2310,0,0,0
2076295527145521792,NGC6819,NGC6819,Long2023;Curtis2020,Meibom2015;Long2023,22.049,0.324,0.324,0.3647269468366768,1.0139092,17.850913665415643,1.1464661935572387,0.04339376439182337,Bayestar,2310,0,0,0
2076297455598475520,NGC6819,NGC6819,Long2023,Long2023,4.267,0.674,0.674,0.39118817571757886,0.98504615,14.603676965773166,0.6920584230219483,0.03795683473008471,Bayestar,2310,0,0,0
